"Name","Amount","Month","State","Lead_Source","Converted"
"Evangelina Kozey",1624.05568984369,10,"Indiana","Advertisement",0
"Myrta Blick",524.988586133693,10,"Idaho","Advertisement",0
"Lenore Homenick",812.90753863727,6,"Montana","Social Media",1
"Ronal Gusikowski",1211.75738450336,10,"Colorado","Advertisement",1
"Ms. Maura Lemke",953.308700462005,12,"Idaho","Advertisement",0
"Donaciano Jast",329.836602192019,11,"Indiana","Advertisement",0
"Cam Terry-Abernathy",609.839278982523,5,"Idaho","Social Media",1
"Coolidge Shanahan-O'Kon",606.554972023624,12,"Idaho","Advertisement",0
"Reagan Renner-Homenick",976.466658877963,1,"Indiana","Employee Referral",0
"Harrie Reinger DVM",656.955704368933,8,"Idaho","Employee Referral",0
"Mrs. Ruthanne Langosh PhD",450.888880816822,5,"Indiana","Employee Referral",0
"Vito Howe-Rosenbaum",291.252543494541,5,"Idaho","Advertisement",0
"Christine Wunsch DVM",1458.50009013836,2,"Montana","Employee Referral",0
"Shawnte Jast-Will",1089.32847163961,8,"Montana","Employee Referral",1
"Mr. Tavaris Wuckert III",835.014003115491,4,"Indiana","Employee Referral",1
"Judith Oberbrunner-Hamill",1136.45274731135,11,"Colorado","Advertisement",0
"Rebecca Witting",912.929442269761,3,"Indiana","Employee Referral",1
"Cyndi Paucek",1472.94095695002,1,"Montana","Advertisement",0
"Mr. Dario Heaney III",1273.40360957352,10,"Colorado","Employee Referral",1
"Marisa Fahey-Turner",1144.37311039927,7,"Montana","Advertisement",1
"Mrs. Jetta Flatley",2307.01896477587,3,"Colorado","Advertisement",1
"Mr. Deante Bernhard DVM",1075.23715614423,9,"Idaho","Advertisement",0
"Miss Kimberli Maggio",550.203518096917,3,"Montana","Social Media",0
"Ms. Shea Schroeder PhD",527.343548480411,5,"Montana","Employee Referral",0
"Katy Kautzer",1203.78417057369,4,"Montana","Employee Referral",0
"Tenisha Jerde",1667.31326258904,8,"Montana","Employee Referral",1
"Glynda Pagac",673.888931238339,4,"Indiana","Advertisement",0
"Benjiman Kirlin",470.206937976873,10,"Indiana","Employee Referral",0
"Tinnie Schmeler",1127.70224620043,12,"Colorado","Advertisement",0
"Hanson Murazik",998.098796043611,10,"Montana","Advertisement",1
"Danyell Fadel",769.752208247708,9,"Indiana","Advertisement",0
"Dr. Nichole Langosh DDS",882.30236542396,6,"Montana","Advertisement",1
"Glinda Keeling",1297.42304980142,11,"Idaho","Employee Referral",0
"Roma Hahn",1272.59169709945,10,"Idaho","Advertisement",0
"Sannie Cassin-Waters",939.602178624585,2,"Idaho","Employee Referral",0
"Brant Mraz",775.80871077821,6,"Montana","Advertisement",0
"Lorenz Bayer",1056.51344721735,12,"Montana","Advertisement",0
"Shawnda Okuneva DDS",365.475456985239,9,"Idaho","Social Media",0
"Rosalind Veum",1084.96583136653,11,"Indiana","Advertisement",0
"Kenley Toy",857.83279189879,1,"Montana","Advertisement",0
"Lise Gorczany",707.716778558124,2,"Montana","Advertisement",0
"Ansel Yundt",486.678336988962,4,"Indiana","Employee Referral",0
"Ms. Bev Feeney",1331.1059429131,3,"Montana","Social Media",1
"Lorin Rowe PhD",1192.91151106776,6,"Indiana","Advertisement",1
"Shawna Oberbrunner",903.934955178058,2,"Indiana","Advertisement",0
"Golda Kohler",296.723354032281,5,"Indiana","Employee Referral",1
"Yamilex Sporer-Hayes",392.201450377716,10,"Idaho","Advertisement",1
"Dixie Windler",674.061663415716,7,"Idaho","Employee Referral",1
"Dr. Lovey Pacocha MD",660.187797973065,3,"Montana","Employee Referral",0
"Taylor VonRueden",682.044040544031,2,"Montana","Advertisement",0
"Tamie Stark",652.228349775914,3,"Colorado","Employee Referral",0
"Dr. Keifer Bogan DVM",572.239231443893,11,"Montana","Advertisement",0
"Jeb Fisher-Bernier",1225.8128702393,12,"Indiana","Advertisement",0
"Mr. Jaylin Terry Sr.",744.605232206806,4,"Colorado","Social Media",0
"Ginger Nikolaus",702.503037928092,4,"Montana","Employee Referral",0
"Auther Littel",1070.05953542887,1,"Indiana","Advertisement",0
"Alline Shields",610.128365246396,5,"Montana","Advertisement",1
"Dr. Austyn Walter PhD",1033.28697495424,11,"Colorado","Advertisement",0
